date,total_passengers,avg_ticket_price,oil_price,holiday_month,year,month
2011-05-01,499024,188.33,44.17,0,2011,5
2011-06-01,472683,185.01,44.56,1,2011,6
2011-07-01,410047,193.95,44.93,1,2011,7
2011-08-01,235252,183.61,46.73,1,2011,8
2011-09-01,223336,193.91,49.64,0,2011,9
2011-10-01,107045,189.55,51.0,0,2011,10
2011-11-01,157750,196.86,50.0,0,2011,11
2011-12-01,229460,195.25,47.1,1,2011,12
2012-01-01,274332,201.1,51.36,0,2012,1
2012-02-01,508957,196.15,49.88,0,2012,2
2012-03-01,505652,185.14,45.95,0,2012,3
2012-04-01,570999,193.17,43.04,0,2012,4
2012-05-01,581664,188.14,45.07,0,2012,5
2012-06-01,505722,191.91,42.3,1,2012,6
2012-07-01,423230,202.56,35.66,1,2012,7
2012-08-01,262121,198.69,38.06,1,2012,8
2012-09-01,162931,192.51,37.37,0,2012,9
2012-10-01,163622,191.43,32.3,0,2012,10
2012-11-01,61808,197.16,34.14,0,2012,11
2012-12-01,154231,191.42,27.98,1,2012,12
2013-01-01,274184,194.64,35.35,0,2013,1
2013-02-01,400220,200.06,34.35,0,2013,2
2013-03-01,585187,204.78,29.39,0,2013,3
2013-04-01,507561,202.54,31.09,0,2013,4
2013-05-01,522952,188.54,22.92,0,2013,5
2013-06-01,583938,202.02,27.13,1,2013,6
2013-07-01,351498,201.36,30.46,1,2013,7
2013-08-01,339001,203.57,29.12,1,2013,8
2013-09-01,132105,210.08,35.72,0,2013,9
2013-10-01,163564,192.18,40.99,0,2013,10
2013-11-01,130793,200.04,33.05,0,2013,11
2013-12-01,252877,206.45,35.75,1,2013,12
2014-01-01,457224,196.09,40.71,0,2014,1
2014-02-01,351814,211.88,46.57,0,2014,2
2014-03-01,597958,206.84,39.75,0,2014,3
2014-04-01,609018,209.73,45.75,0,2014,4
2014-05-01,515673,203.15,51.89,0,2014,5
2014-06-01,374315,210.57,42.71,1,2014,6
2014-07-01,395770,212.34,44.82,1,2014,7
2014-08-01,247640,208.66,48.13,1,2014,8
2014-09-01,235409,209.17,48.29,0,2014,9
2014-10-01,191748,209.85,52.44,0,2014,10
2014-11-01,344937,204.68,50.57,0,2014,11
2014-12-01,270851,208.76,44.07,1,2014,12
2015-01-01,318120,209.24,50.21,0,2015,1
2015-02-01,514342,212.42,45.93,0,2015,2
2015-03-01,590804,216.0,50.25,0,2015,3
2015-04-01,708735,206.21,43.12,0,2015,4
2015-05-01,640013,211.37,41.51,0,2015,5
2015-06-01,528549,219.91,43.36,1,2015,6
2015-07-01,517064,209.28,42.29,1,2015,7
2015-08-01,204898,209.39,39.61,1,2015,8
2015-09-01,175614,215.01,31.52,0,2015,9
2015-10-01,125873,218.72,36.61,0,2015,10
2015-11-01,195610,215.06,30.47,0,2015,11
2015-12-01,189865,222.14,33.05,1,2015,12
2016-01-01,460812,220.28,27.07,0,2016,1
2016-02-01,492222,220.71,31.94,0,2016,2
2016-03-01,465540,219.77,27.73,0,2016,3
2016-04-01,528753,229.14,26.15,0,2016,4
2016-05-01,608286,216.97,32.29,0,2016,5
2016-06-01,577050,208.48,31.33,1,2016,6
2016-07-01,569738,227.02,29.5,1,2016,7
2016-08-01,543108,217.21,36.69,1,2016,8
2016-09-01,269947,220.54,32.25,0,2016,9
2016-10-01,130836,227.05,35.1,0,2016,10
2016-11-01,66231,212.99,37.39,0,2016,11
2016-12-01,331416,215.24,36.4,1,2016,12
2017-01-01,354964,213.99,41.41,0,2017,1
2017-02-01,486771,218.53,40.14,0,2017,2
2017-03-01,544237,225.2,42.19,0,2017,3
2017-04-01,608736,226.12,49.09,0,2017,4
2017-05-01,678483,225.38,43.31,0,2017,5
2017-06-01,532563,217.44,40.42,1,2017,6
2017-07-01,407309,213.45,53.49,1,2017,7
2017-08-01,237147,225.77,57.04,1,2017,8
2017-09-01,112820,223.64,48.63,0,2017,9
2017-10-01,181095,228.8,44.19,0,2017,10
2017-11-01,242492,230.51,48.92,0,2017,11
2017-12-01,461434,228.19,48.54,1,2017,12
2018-01-01,440421,231.8,48.09,0,2018,1
2018-02-01,608619,229.65,44.32,0,2018,2
2018-03-01,563261,231.65,48.17,0,2018,3
2018-04-01,535204,225.98,46.57,0,2018,4
2018-05-01,525995,229.1,38.94,0,2018,5
2018-06-01,471981,231.48,43.83,1,2018,6
2018-07-01,600277,235.1,46.16,1,2018,7
2018-08-01,264289,229.53,38.78,1,2018,8
2018-09-01,323874,234.61,35.57,0,2018,9
2018-10-01,157765,231.17,34.57,0,2018,10
2018-11-01,331320,232.41,35.42,0,2018,11
2018-12-01,360796,237.65,27.15,1,2018,12
2019-01-01,427468,224.03,31.83,0,2019,1
2019-02-01,536738,228.02,29.43,0,2019,2
2019-03-01,560822,227.59,35.7,0,2019,3
2019-04-01,675685,223.83,29.48,0,2019,4
2019-05-01,576806,232.61,35.16,0,2019,5
2019-06-01,441951,240.25,27.29,1,2019,6
2019-07-01,337764,235.58,33.1,1,2019,7
2019-08-01,353807,238.49,33.3,1,2019,8
2019-09-01,393122,243.45,30.96,0,2019,9
2019-10-01,252799,245.14,35.53,0,2019,10
2019-11-01,257303,238.65,40.22,0,2019,11
2019-12-01,362866,246.27,37.29,1,2019,12
2020-01-01,554480,240.46,34.92,0,2020,1
2020-02-01,567550,236.31,41.68,0,2020,2
2020-03-01,590330,238.03,40.71,0,2020,3
2020-04-01,738503,234.1,43.97,0,2020,4
2020-05-01,657505,237.56,46.18,0,2020,5
2020-06-01,672860,240.71,42.54,1,2020,6
2020-07-01,464658,247.02,43.81,1,2020,7
2020-08-01,252042,252.1,50.84,1,2020,8
2020-09-01,167342,237.09,48.28,0,2020,9
2020-10-01,382074,246.46,42.31,0,2020,10
2020-11-01,414688,239.8,52.2,0,2020,11
2020-12-01,335638,247.87,50.21,1,2020,12
2021-01-01,429345,245.34,46.52,0,2021,1
2021-02-01,676915,237.35,43.71,0,2021,2
2021-03-01,544641,251.64,48.94,0,2021,3
2021-04-01,588421,244.47,46.05,0,2021,4
2021-05-01,684671,245.33,50.57,0,2021,5
2021-06-01,528431,243.15,43.0,1,2021,6
2021-07-01,459590,245.73,41.16,1,2021,7
2021-08-01,346924,251.64,37.76,1,2021,8
2021-09-01,313800,249.05,39.03,0,2021,9
2021-10-01,372598,252.14,36.88,0,2021,10
2021-11-01,294041,252.81,37.33,0,2021,11
2021-12-01,411515,258.1,30.78,1,2021,12
2022-01-01,305986,250.29,30.03,0,2022,1
2022-02-01,566102,245.12,29.17,0,2022,2
2022-03-01,575746,258.34,32.52,0,2022,3
2022-04-01,572494,251.84,34.5,0,2022,4
2022-05-01,572952,259.57,28.78,0,2022,5
2022-06-01,543270,256.42,29.33,1,2022,6
2022-07-01,543272,254.34,32.28,1,2022,7
2022-08-01,263888,257.24,31.6,1,2022,8
2022-09-01,299245,265.76,36.43,0,2022,9
2022-10-01,231266,266.88,28.24,0,2022,10
2022-11-01,270581,257.35,34.1,0,2022,11
2022-12-01,450220,258.3,35.92,1,2022,12
2023-01-01,523049,263.38,33.04,0,2023,1
2023-02-01,686991,254.27,38.85,0,2023,2
2023-03-01,640844,260.67,40.67,0,2023,3
2023-04-01,624324,259.37,44.4,0,2023,4
2023-05-01,635296,261.57,49.77,0,2023,5
2023-06-01,599399,256.33,46.93,1,2023,6
2023-07-01,494125,253.05,45.57,1,2023,7
2023-08-01,293248,251.14,49.23,1,2023,8
2023-09-01,314034,256.41,53.0,0,2023,9
2023-10-01,298258,260.21,47.07,0,2023,10
2023-11-01,508192,261.53,47.12,0,2023,11
2023-12-01,530147,273.19,51.07,1,2023,12
2024-01-01,421740,269.53,48.0,0,2024,1
2024-02-01,567009,259.69,49.6,0,2024,2
2024-03-01,546129,266.74,46.39,0,2024,3
2024-04-01,642743,263.46,47.1,0,2024,4
2024-05-01,688453,264.58,40.31,0,2024,5
2024-06-01,686468,267.43,41.7,1,2024,6
2024-07-01,431673,270.1,39.37,1,2024,7
2024-08-01,337668,265.8,34.62,1,2024,8
2024-09-01,145011,273.32,31.89,0,2024,9
2024-10-01,276986,262.79,37.06,0,2024,10
2024-11-01,231801,269.03,32.52,0,2024,11
2024-12-01,347644,282.49,29.27,1,2024,12
