INV_ID,INV_DATE,SELLER_ID,BUYER_ID,SELLER_NAME,BUYER_NAME,SELLER_NON_COMPLIANCE,BUYER_NON_COMPLIANCE,BUYER_ID_TYPE,INVOICE_NET_TOTAL_AMOUNT,INVOICE_GROSS_TOTAL_AMOUNT,INVOICE_TAX_AMOUNT,NO_OF_LINES,PROBABILITY_OF_FRAUD
237978360,17/06/2019,7751355833,8968268655,Visual Interworks Design 2,Advanced Byte Inc 4,0,0,TIN,55464,66556.8,11092.800000000003,7,0.11848176618192673
8173430034,24/04/2019,2174249386,228541401,Canadian Community Group 2,Quantum Server Universal 7,0,0,TIN,54806,65767.2,10961.199999999997,7,0.523730275405376
3877524527,18/02/2019,2174249386,257435657,Canadian Community Group 2,Key Software 3,0,0,TIN,22610,27132.0,4522.0,5,0.7826573179833926
9367161182,03/04/2019,2174249386,1173583648,Canadian Community Group 2,North American Interworks Studios 3,0,0,TIN,28161,33793.2,5632.199999999997,5,0.6454965256411246
5097796906,16/05/2019,4561308304,6438755849,Certified Security 5,Key Software 8,0,0,TIN,14552,17462.399999999998,2910.399999999998,5,0.15302496662737214
5006012048,22/02/2019,4561308304,709183361,Certified Security 5,"External Client Unlimited, Inc 6",0,0,TIN,15297,18356.4,3059.4000000000015,6,0.43869886145849407
2716354551,13/11/2019,4561308304,2753544847,Certified Security 5,Certified Integrity Technologies 2,0,0,TIN,21956,26347.199999999997,4391.199999999997,8,0.20736803482928615
6827954526,20/02/2019,9352898330,2224568810,Reliable Services Advertising 5,Advanced Byte Inc 10,0,0,TIN,26365,31638.0,5273.0,7,0.6320494246303902
8804613614,17/07/2019,9352898330,8957772298,Reliable Services Advertising 5,Ironclad Client Group 3,0,0,TIN,29556,35467.200000000004,5911.200000000004,6,0.059042602188661746
3251986906,18/03/2019,9352898330,8957772298,Reliable Services Advertising 5,Ironclad Client Group 3,0,0,TIN,21970,26364.0,4394.0,5,0.8315939906149983
8172871734,03/06/2019,4846671032,1735824620,Administrative Innovation 2,Certified Paradigm Concierge 9,0,0,TIN,30890,37068.0,6178.0,8,0.6617142061047505
7100884524,22/01/2019,4846671032,5950950643,Administrative Innovation 2,Ironclad Client Group 4,0,0,TIN,32355,38826.0,6471.0,5,0.5203290895403248
4459974089,21/02/2019,4846671032,2763475763,Administrative Innovation 2,Administrative Paradigm Universal 9,0,0,TIN,44261,53113.200000000004,8852.200000000004,8,0.27974824718814234
8351389192,11/06/2019,4846671032,2763475763,Administrative Innovation 2,Administrative Paradigm Universal 9,0,0,TIN,26932,32318.399999999998,5386.399999999998,6,0.48347787339098214
6086936962,12/12/2019,4846671032,472082997,Administrative Innovation 2,North American Interworks Studios 10,0,0,TIN,24549,29458.800000000003,4909.800000000003,6,0.30150044010771143
2592636274,05/06/2019,5246766035,1050420442,"American Paradigm Unlimited, Inc 4",Internet Computer Vision 3,0,0,TIN,53834,64600.8,10766.800000000003,9,0.16686897956052107
8681998834,08/01/2019,5246766035,9682987315,"American Paradigm Unlimited, Inc 4",Silicon Opportunities LLC 3,0,0,TIN,32434,38920.8,6486.800000000003,9,0.6999997946393233
8411761069,14/06/2019,5246766035,9682987315,"American Paradigm Unlimited, Inc 4",Silicon Opportunities LLC 3,0,0,TIN,33518,40221.6,6703.5999999999985,9,0.5371262397795085
2149806821,12/04/2019,5246766035,6334910569,"American Paradigm Unlimited, Inc 4",Future Solutions LLC 4,0,0,TIN,65627,78752.4,13125.399999999994,9,0.29622288410828357
896727656,01/02/2019,5246766035,251984844,"American Paradigm Unlimited, Inc 4",Technical Computer Ltd 5,0,0,TIN,53917,64700.39999999999,10783.399999999987,9,0.3304761018005845
1903035118,25/08/2019,8419373810,6245441944,Open Unified Studios,Profit Computer Concierge,0,0,TIN,45304,54364.799999999996,9060.799999999996,9,0.6450049557365517
2673182206,30/05/2019,8419373810,6793012915,Open Unified Studios,Silicon Corp 2,0,0,TIN,28493,34191.6,5698.5999999999985,5,0.29463213571902996
1016634615,04/07/2019,8419373810,3811413399,Open Unified Studios,Key Digital Concierge 9,0,0,TIN,48162,57794.399999999994,9632.399999999994,8,0.29197083295038356
1146187209,26/01/2019,5961397803,3922206760,North American Trade Group 5,Quantum Server Universal 9,0,0,TIN,44303,53163.600000000006,8860.600000000006,7,0.21036715607493653
9707195858,01/08/2019,5961397803,7359415072,North American Trade Group 5,Technical Concepts Studios 6,0,0,TIN,59599,71518.8,11919.800000000003,5,0.4114187992948074
5396759132,07/12/2019,5961397803,3896343232,North American Trade Group 5,Jansen Enterprises,0,0,TIN,17448,20937.600000000002,3489.600000000002,6,0.5848876954062965
1891616345,22/07/2019,5961397803,9114132821,North American Trade Group 5,Red Hat Computer Resources 5,0,0,TIN,38208,45849.600000000006,7641.600000000006,6,0.00613937698048398
9933178341,20/10/2019,5961397803,3872268138,North American Trade Group 5,Micro Production 9,0,0,TIN,43544,52252.799999999996,8708.799999999996,9,0.8761296878362974
5195698441,22/10/2019,7442337379,4500848147,Canadian Media Design 2,"Continential Automation Unlimited, Inc",0,0,TIN,60892,73070.4,12178.399999999994,9,0.7608688342295816
8326719498,07/05/2019,7442337379,8196721591,Canadian Media Design 2,Expert Trade Design 9,0,0,TIN,36499,43798.8,7299.800000000003,8,0.46202807914422866
6958627863,19/10/2019,7442337379,6241557590,Canadian Media Design 2,Internet Community Group 2,0,0,TIN,31828,38193.6,6365.5999999999985,7,0.40583169115822526
5319736155,06/07/2019,2006857412,5668130030,Cyber Paradigm Design 5,Micro Interactive Resources,0,0,TIN,48842,58610.4,9768.400000000001,9,0.6634300516281412
8214534696,21/11/2019,2006857412,920353466,Cyber Paradigm Design 5,Red Hat Computer Resources 3,0,1,TIN,40418,48501.600000000006,8083.600000000006,7,0.6037393910127259
2008382379,27/12/2019,2006857412,7428322583,Cyber Paradigm Design 5,Expert Interactive Resources 10,0,0,TIN,13357,16028.400000000001,2671.4000000000015,5,0.025302086592229878
6756513545,17/01/2019,2006857412,4144146297,Cyber Paradigm Design 5,Certified Security,0,0,TIN,40450,48540.0,8090.0,6,0.10622112388354615
3760414581,05/02/2019,2006857412,1540517521,Cyber Paradigm Design 5,Open Unified Studios 5,0,0,TIN,42956,51547.2,8591.199999999997,7,0.7814154644551442
7335897234,21/09/2019,2006857412,695304367,Cyber Paradigm Design 5,Continential Wireless Worldwide 5,0,0,TIN,22940,27528.0,4588.0,8,0.5443647807591273
9659200744,03/01/2019,6201251350,5001223074,Ironclad Client Group,Canadian Media Design 7,0,0,TIN,46143,55371.6,9228.599999999999,7,0.48135345158898396
4257031462,09/10/2019,6201251350,7635621065,Ironclad Client Group,Internet Computer Vision 9,0,1,TIN,40063,48075.6,8012.5999999999985,7,0.8706809051012911
3682331280,31/08/2019,6201251350,5611529312,Ironclad Client Group,Silicon Opportunities LLC 4,0,0,TIN,39815,47777.99999999999,7962.999999999993,6,0.6488131452777803
368545448,27/07/2019,6201251350,7029928924,Ironclad Client Group,Cyber Innovation Corp 10,0,0,TIN,30022,36026.4,6004.4000000000015,8,0.29603860599987714
8582210858,10/03/2019,7091047208,2607972283,Profit Production Concierge 9,Enigma Wireless Design 3,1,0,TIN,52571,63085.2,10514.199999999997,7,0.11443814384181787
75102459,15/09/2019,7091047208,2607972283,Profit Production Concierge 9,Enigma Wireless Design 3,1,0,TIN,49151,58981.2,9830.199999999997,9,0.19825527781396138
2819670704,26/01/2019,7091047208,862772879,Profit Production Concierge 9,TestAuthorized,1,0,TIN,18000,21600.0,3600.0,6,0.6144589233364056
5459140894,20/10/2019,5354714899,6075974367,Micro Interactive Resources 4,Canadian Community Group 5,0,0,TIN,56383,67659.6,11276.600000000006,8,0.5558293555311936
7002944373,07/07/2019,5354714899,3774808052,Micro Interactive Resources 4,External Media Corp 2,0,0,TIN,51668,62001.6,10333.599999999999,9,0.8304677592713577
3869383862,11/11/2019,1737739372,480731217,Graphic Client Concierge 3,Canadian Community Group 3,0,0,TIN,25897,31076.4,5179.4000000000015,6,0.00670031739448762
6481418311,17/09/2019,1737739372,6355567009,Graphic Client Concierge 3,"Profit Interactive Unlimited, Inc",0,0,TIN,20615,24738.0,4123.0,7,0.5742658632765038
4059477148,24/09/2019,1737739372,3648613040,Graphic Client Concierge 3,Expert Integrity Technologies 5,0,0,TIN,13626,16351.2,2725.2000000000007,6,0.13935008695809298
5633777992,06/07/2019,1737739372,1934321731,Graphic Client Concierge 3,Continential Wireless Worldwide 7,0,0,TIN,40672,48806.40000000001,8134.400000000009,9,0.12166706632517606
6555543489,03/01/2019,1862449294,2821220870,Global Solutions Studios 5,Integrity 4,0,0,TIN,36040,43248.0,7208.0,8,0.45612136512866513
641646870,17/01/2019,1862449294,4821739020,Global Solutions Studios 5,Internet Community Group 10,0,0,TIN,33607,40328.4,6721.4000000000015,5,0.44960515492402214
393190582,29/12/2019,6785441158,6111683034,Future Solutions LLC 7,Continential Data Corporation 4,0,0,TIN,45631,54757.20000000001,9126.200000000012,9,0.3997153499378584
3201114664,13/07/2019,6785441158,6111683034,Future Solutions LLC 7,Continential Data Corporation 4,0,0,TIN,50600,60720.0,10120.0,8,0.5440982706536989
4480326571,22/04/2019,6785441158,7100566189,Future Solutions LLC 7,Open Unified Studios 3,0,0,TIN,70339,84406.8,14067.800000000003,7,0.7165785265844724
4849448747,26/05/2019,8747494459,1102143294,Quantum Server Universal 6,Moving Business 2,0,0,TIN,19271,23125.199999999997,3854.199999999997,6,0.07891293525413882
7013372065,03/03/2019,8747494459,709183361,Quantum Server Universal 6,"External Client Unlimited, Inc 6",0,0,TIN,18438,22125.6,3687.5999999999985,5,0.8157336213350056
7140801361,21/04/2019,8747494459,7906552567,Quantum Server Universal 6,Expert Security Telecom,0,0,TIN,28714,34456.8,5742.800000000003,6,0.6515825790057919
5957920017,15/01/2019,8747494459,7376578271,Quantum Server Universal 6,Key Digital Concierge 5,0,0,TIN,46184,55420.8,9236.800000000003,7,0.44678301998266573
8952215761,07/07/2019,3648613040,3924211515,Expert Integrity Technologies 5,External Technologies Design 10,0,0,TIN,42560,51072.0,8512.0,9,0.7932056848230965
4733949072,14/01/2019,3648613040,3922206760,Expert Integrity Technologies 5,Quantum Server Universal 9,0,0,TIN,29041,34849.200000000004,5808.200000000004,5,0.4342662895267773
14205980,19/12/2019,3648613040,3090396347,Expert Integrity Technologies 5,Canadian Community Group 7,0,0,TIN,39726,47671.200000000004,7945.200000000004,6,0.008064543048578477
2518252697,28/12/2019,3648613040,8575591766,Expert Integrity Technologies 5,Cyber Security 5,0,0,TIN,51700,62039.99999999999,10339.999999999993,7,0.14790308420492496
6967398808,06/03/2019,3648613040,1810634394,Expert Integrity Technologies 5,Enigma Securities Group 6,0,0,TIN,19795,23754.0,3959.0,6,0.26557213842630306
4928383599,25/01/2019,1488188447,5994220815,Automation Design 5,Indicative Opportunities Vision 10,0,0,TIN,20595,24714.0,4119.0,6,0.6481979612802807
4936582885,31/07/2019,1488188447,5994220815,Automation Design 5,Indicative Opportunities Vision 10,0,0,TIN,35847,43016.4,7169.4000000000015,9,0.616933097666346
7779756820,26/04/2019,1488188447,9448368288,Automation Design 5,Continential Software Technologies 2,0,1,TIN,45026,54031.2,9005.199999999997,9,0.16132270930185716
119575259,21/08/2019,572830723,3977476222,Ironclad Client Group 2,Certified Paradigm Concierge 8,0,0,TIN,49328,59193.6,9865.599999999999,6,0.6136607301648448
3468712442,11/04/2019,572830723,3977476222,Ironclad Client Group 2,Certified Paradigm Concierge 8,0,0,TIN,30250,36300.0,6050.0,8,0.32581870242344024
4007820851,01/05/2019,572830723,22625097,Ironclad Client Group 2,"American Paradigm Unlimited, Inc 6",0,0,TIN,47352,56822.399999999994,9470.399999999994,8,0.6302756309446678
5456352958,16/02/2019,572830723,750880344,Ironclad Client Group 2,Indicative Opportunities Vision 3,0,1,TIN,50911,61093.19999999998,10182.199999999983,9,0.4236311864463056
2289352673,19/10/2019,2673094904,2514742412,Technical Paradigm Technologies 4,Graphic Outsourcing Studios 7,0,0,TIN,21016,25219.2,4203.200000000001,5,0.3446370757373737
783485822,25/04/2019,2673094904,2934223355,Technical Paradigm Technologies 4,Administrative Automation Inc 10,0,0,TIN,74809,89770.79999999999,14961.799999999988,9,0.7721727860985417
1860501757,01/11/2019,1375506074,956783835,Agility Outsourcing Studios,Silicon Corp 4,0,1,TIN,26112,31334.399999999998,5222.399999999998,8,0.27793646485667195
2214913679,24/03/2019,1375506074,956783835,Agility Outsourcing Studios,Silicon Corp 4,0,1,TIN,44101,52921.2,8820.199999999997,7,0.09031084425208735
4051684767,27/05/2019,1375506074,8075735333,Agility Outsourcing Studios,Continential Software Technologies,0,0,TIN,57846,69415.2,11569.199999999997,9,0.38723999046176855
4595032601,23/12/2019,1375506074,682709699,Agility Outsourcing Studios,"External Client Unlimited, Inc 7",0,0,TIN,38858,46629.59999999999,7771.599999999991,8,0.6679759511639844
5951079947,15/08/2019,5892780820,5463564268,North American Automation Concierge 4,Key Digital Concierge 2,0,0,TIN,39435,47322.00000000001,7887.000000000007,7,0.018149045305183
8557023808,26/08/2019,5892780820,9702307647,North American Automation Concierge 4,Automation Design 9,0,1,TIN,32134,38560.8,6426.800000000003,9,0.0918887899239744
646576918,30/09/2019,3904365159,6454754780,Corporate Opportunities Ltd 2,Quantum Wireless 4,0,0,TIN,44739,53686.8,8947.800000000003,5,0.08875558735001585
4538826180,14/04/2019,3904365159,5204377407,Corporate Opportunities Ltd 2,Ironclad Software Concierge,0,0,TIN,42035,50442.0,8407.0,5,0.5830564335501317
9434810155,08/03/2019,225754259,215745180,Canadian Outsourcing 8,Global Solutions Studios 6,0,0,TIN,38469,46162.8,7693.800000000003,8,0.22517646097306857
6916801312,18/10/2019,225754259,7907185678,Canadian Outsourcing 8,Profit Server Concierge 10,0,0,TIN,26182,31418.400000000005,5236.400000000005,8,0.7139997190185556
2392604641,04/09/2019,5796749533,7710929923,Silicon Innovation LLC 9,Reliable Services Advertising 3,0,0,TIN,35221,42265.200000000004,7044.200000000004,7,0.2643269724641881
7373734568,11/11/2019,5796749533,3991336752,Silicon Innovation LLC 9,Cyber Security,0,1,TIN,21171,25405.199999999997,4234.199999999997,5,0.3453403937701995
7890499447,25/11/2019,3564477983,824821661,Graphic Client Concierge 6,Advanced Byte Inc 8,0,0,TIN,35829,42994.8,7165.800000000003,5,0.39350841702479133
9802337730,14/03/2019,3564477983,824821661,Graphic Client Concierge 6,Advanced Byte Inc 8,0,0,TIN,26917,32300.4,5383.4000000000015,8,0.04396327240032454
4051603580,18/06/2019,3564477983,1735824620,Graphic Client Concierge 6,Certified Paradigm Concierge 9,0,0,TIN,28513,34215.600000000006,5702.600000000006,5,0.01870658118339156
6753952461,19/05/2019,7877640203,9131188351,"Continential Automation Unlimited, Inc 6",Continential Software Technologies 8,0,0,TIN,13994,16792.800000000003,2798.800000000003,6,0.20777677822444227
5338670324,09/11/2019,7877640203,4791648658,"Continential Automation Unlimited, Inc 6",Profit Computer Concierge 6,0,1,TIN,35613,42735.6,7122.5999999999985,8,0.5918401974147889
3045275445,11/07/2019,7877640203,4791648658,"Continential Automation Unlimited, Inc 6",Profit Computer Concierge 6,0,1,TIN,34749,41698.8,6949.800000000003,7,0.1956431143962555
2709400634,20/10/2019,7877640203,7475454150,"Continential Automation Unlimited, Inc 6",Internal Computer Telecom 6,0,0,TIN,29598,35517.6,5919.5999999999985,6,0.16021404367379252
8612263624,24/11/2019,7877640203,7741120328,"Continential Automation Unlimited, Inc 6",Profit Production Concierge 8,0,0,TIN,35696,42835.2,7139.199999999997,6,0.7564536650381716
1144460860,19/04/2019,8196721591,1069248951,Expert Trade Design 9,North American Trade Group 3,0,0,TIN,38002,45602.4,7600.4000000000015,7,0.8552072546494002
1877710617,28/12/2019,8196721591,1069248951,Expert Trade Design 9,North American Trade Group 3,0,0,TIN,22353,26823.600000000002,4470.600000000002,6,0.7564536058225269
7267112522,12/10/2019,8196721591,9483038935,Expert Trade Design 9,Administrative Concierge 6,0,0,TIN,17061,20473.2,3412.2000000000007,5,0.4201755325576557
8501359877,03/10/2019,8196721591,9433060545,Expert Trade Design 9,North American Automation Corp 6,0,0,TIN,22628,27153.6,4525.5999999999985,6,0.5774863209271526
6353097420,10/11/2019,5148001406,6024932245,Internet Paradigm Concierge 9,Agility PC Advertising 5,0,0,TIN,40422,48506.4,8084.4000000000015,7,0.6217336991054763
5048401987,12/07/2019,5148001406,5193394889,Internet Paradigm Concierge 9,Micro Production 10,0,0,TIN,41264,49516.8,8252.800000000003,8,0.3260092822130293
1130788212,27/11/2019,5148001406,1198914962,Internet Paradigm Concierge 9,Virtual Services Corporation 2,0,1,TIN,38426,46111.2,7685.199999999997,5,0.7874197904767322
2964424899,26/07/2019,6412717670,6201251350,"Continential Automation Unlimited, Inc 7",Ironclad Client Group,0,0,TIN,49205,59045.99999999999,9840.999999999993,9,0.4611130467657979
1312665799,04/03/2019,6412717670,1050420442,"Continential Automation Unlimited, Inc 7",Internet Computer Vision 3,0,0,TIN,34202,41042.4,6840.4000000000015,5,0.46241711069479813
4729478623,14/02/2019,6412717670,1396368692,"Continential Automation Unlimited, Inc 7",Canadian Outsourcing 4,0,0,TIN,33883,40659.6,6776.5999999999985,6,0.13197797066745873
800875118,26/07/2019,480731217,6890410547,Canadian Community Group 3,Visual Interworks Design 4,0,0,TIN,34460,41352.0,6892.0,7,0.16634858524592697
6654783514,26/02/2019,480731217,6890410547,Canadian Community Group 3,Visual Interworks Design 4,0,0,TIN,20300,24360.000000000004,4060.0000000000036,6,0.7562819539150926
7095077877,13/10/2019,480731217,7492143622,Canadian Community Group 3,Profit Production Concierge 5,0,0,TIN,38263,45915.600000000006,7652.600000000006,9,0.7232351414787855
1813900618,15/06/2019,480731217,199290946,Canadian Community Group 3,Executive Unified Technologies,0,0,TIN,47928,57513.600000000006,9585.600000000006,9,0.5279986941905355
3063293317,28/06/2019,1437250343,8163272949,Proffessional Security Group 5,Red Hat Computer Resources 8,0,0,TIN,44201,53041.200000000004,8840.200000000004,7,0.7534676209864246
8110557085,24/05/2019,1437250343,3495386415,Proffessional Security Group 5,Visual Automation 9,0,0,TIN,58634,70360.8,11726.800000000003,7,0.17715575934432484
1154494469,19/11/2019,1102143294,5136445854,Moving Business 2,Cyber Integrity Universal,0,0,TIN,38328,45993.600000000006,7665.600000000006,9,0.2503868224705741
7597904761,06/05/2019,1102143294,4087597158,Moving Business 2,Expert Trade Design,0,0,TIN,64367,77240.4,12873.399999999994,9,0.3992951517289088
3500649213,06/05/2019,1102143294,8547290457,Moving Business 2,Internet Computer Vision 2,0,0,TIN,39300,47160.0,7860.0,8,0.06704053607389163
9954861933,10/03/2019,1102143294,8547290457,Moving Business 2,Internet Computer Vision 2,0,0,TIN,27721,33265.2,5544.199999999997,9,0.5260388480570793
5932754263,27/12/2019,1102143294,3361255587,Moving Business 2,Silicon Corp 3,0,0,TIN,32828,39393.6,6565.5999999999985,9,0.13330522056706243
4451256024,15/03/2019,1087359393,9682017292,Technical Networks Technologies 5,Visual Interworks Design 8,0,0,TIN,4201,5041.2,840.1999999999998,6,0.12518690435791174
8243149442,01/05/2019,1087359393,2026631170,Technical Networks Technologies 5,Moving Business 3,0,0,TIN,30294,36352.8,6058.800000000003,5,0.8955390371385797
195634908,18/06/2019,1087359393,4905191198,Technical Networks Technologies 5,Expert Telecom 6,0,0,TIN,18873,22647.6,3774.5999999999985,5,0.3626724711459111
1308688005,15/01/2019,1087359393,6299131946,Technical Networks Technologies 5,Cyber Integrity Universal 2,0,0,TIN,11527,13832.4,2305.3999999999996,5,0.3794879403188116
8868128262,13/01/2019,1087359393,5711113269,Technical Networks Technologies 5,Quantum Interworks Advertising 3,0,0,TIN,19081,22897.2,3816.2000000000007,8,0.04679963491782335
435007180,21/06/2019,1609024961,8062387712,Technical PC Studios 5,Profit Server Concierge 6,0,0,TIN,51571,61885.19999999999,10314.19999999999,9,0.5954699734564519
7412416622,19/01/2019,1609024961,6865779416,Technical PC Studios 5,External Solutions LLC 10,0,0,TIN,18779,22534.8,3755.7999999999993,6,0.7098868871177288
2036954007,26/02/2019,1465674966,7324289674,Profit Computer Concierge 3,Internet Computer Vision 8,0,0,TIN,25316,30379.2,5063.200000000001,7,0.021981176135248606
3508844995,03/01/2019,1465674966,369330013,Profit Computer Concierge 3,Expert Trade Design 4,0,0,TIN,15460,18552.0,3092.0,5,0.18513594519252627
9698409275,11/10/2019,1465674966,2612579710,Profit Computer Concierge 3,Advanced Byte Inc 9,0,0,TIN,21655,25986.0,4331.0,6,0.18683143252190285
8315627685,07/03/2019,8252221406,3652627578,Certified Integrity Technologies 3,Future Solutions LLC 3,0,0,TIN,62578,75093.6,12515.600000000006,9,0.5915511030101125
3836654152,29/07/2019,8252221406,4268117011,Certified Integrity Technologies 3,Network Cluster 9,0,0,TIN,38257,45908.4,7651.4000000000015,9,0.09126670191418067
2770109248,26/06/2019,8252221406,8353655096,Certified Integrity Technologies 3,Cyber Paradigm Design 9,0,0,TIN,32224,38668.8,6444.800000000003,5,0.6610734572103799
8954696783,02/02/2019,8252221406,3971732894,Certified Integrity Technologies 3,Corporate Data Advertising 6,0,0,TIN,26426,31711.199999999997,5285.199999999997,7,0.48036926086245374
6183724839,19/12/2019,8252221406,8779068120,Certified Integrity Technologies 3,Key Wireless Corp,0,0,TIN,38230,45876.0,7646.0,7,0.880794017502893
7423183289,11/02/2019,8252221406,4500848147,Certified Integrity Technologies 3,"Continential Automation Unlimited, Inc",0,0,TIN,28544,34252.8,5708.800000000003,8,0.8116568694186763
8867241328,21/10/2019,8252221406,9915435354,Certified Integrity Technologies 3,External Technologies Design 3,0,0,TIN,48267,57920.399999999994,9653.399999999994,9,0.1807966047685798
883217211,02/01/2019,5462237500,7263704197,Demo user,Enigma Securities Group 7,0,0,TIN,48428,58113.6,9685.599999999999,8,0.4451089854662984
4872307389,15/04/2019,5462237500,1484364152,Demo user,Key Wireless Corp 10,0,0,TIN,59438,71325.6,11887.600000000006,8,0.41491635800269466
4559112526,23/04/2019,5462237500,2981287970,Demo user,Profit Production Concierge,0,0,TIN,23968,28761.6,4793.5999999999985,6,0.13950207060776057
7912615256,03/12/2019,5462237500,2981287970,Demo user,Profit Production Concierge,0,0,TIN,45071,54085.2,9014.199999999997,8,0.11494831128237233
3834176156,28/05/2019,5462237500,7652152528,Demo user,Profit Computer Concierge 2,0,1,TIN,32825,39390.0,6565.0,7,0.866806737127247
8637546493,12/12/2019,9290157658,5934006968,Quantum Server Universal 3,External Solutions LLC 7,0,0,TIN,34517,41420.4,6903.4000000000015,5,0.2762490396559693
849172739,19/10/2019,9290157658,547965318,Quantum Server Universal 3,Ironclad Client Group 5,0,0,TIN,77513,93015.6,15502.600000000006,9,0.510701347598243
7039938463,31/03/2019,9290157658,7852589996,Quantum Server Universal 3,External Technologies Design 5,0,0,TIN,28095,33714.0,5619.0,6,0.32248624741850496
9893409314,25/05/2019,9290157658,7852589996,Quantum Server Universal 3,External Technologies Design 5,0,0,TIN,27154,32584.800000000003,5430.800000000003,7,0.5605827889870174
3884516851,17/03/2019,9290157658,5148374672,Quantum Server Universal 3,Canadian Community Group 8,0,0,TIN,16285,19542.0,3257.0,5,0.6638640130348169
2870595715,21/10/2019,5953020128,8010202494,Technical Networks Technologies 9,Continential Wireless Worldwide 6,0,1,TIN,29851,35821.2,5970.199999999997,9,0.05687757219795483
4964297582,06/08/2019,5953020128,4886210621,Technical Networks Technologies 9,Agility Outsourcing Studios 9,0,0,TIN,46347,55616.4,9269.400000000001,7,0.5884367958426224
7364302039,03/10/2019,5953020128,2607972283,Technical Networks Technologies 9,Enigma Wireless Design 3,0,0,TIN,17656,21187.199999999997,3531.199999999997,6,0.23035562015163516
